a2ps 4.14-12
jdk11-openjdk 11.0.15.u10-2
jdk8-openjdk 8.332.u09-1
jemalloc 1:5.3.0-1
jfsutils 1.1.15-8
jq 1.6-4
jre-openjdk 18.0.1.1.u2-1
jre-openjdk-headless 18.0.1.1.u2-1
jre11-openjdk 11.0.15.u10-2
jre11-openjdk-headless 11.0.15.u10-2
jre8-openjdk 8.332.u09-1
jre8-openjdk-headless 8.332.u09-1
js78 78.15.0-4
js91 91.10.0-1
json-c 0.16-1
json-glib 1.6.6-2
jsoncpp 1.9.5-2
kaccounts-integration 22.04.2-1
kactivities 5.95.0-1
kactivities-stats 5.95.0-1
karchive 5.95.0-1
kauth 5.95.0-1
kbd 2.5.0-2
kbookmarks 5.95.0-1
kcachegrind-common 22.04.2-1
kcalendarcore 5.95.0-1
kcmutils 5.95.0-1
kcodecs 5.95.0-1
kcolorpicker 0.2.0-1
kcompletion 5.95.0-1
kconfig 5.95.0-1
kconfigwidgets 5.95.0-1
kcontacts 1:5.95.0-1
kcoreaddons 5.95.0-1
kcrash 5.95.0-1
kdbusaddons 5.95.0-1
kdeclarative 5.95.0-1
kded 5.95.0-1
kdenlive 22.04.2-2
kdiagram 2.8.0-1
kdnssd 5.95.0-1
kdoctools 5.95.0-1
kdsoap 2.0.0-1
kdsoap-ws-discovery-client git20200927-2
keepass 2.51-1
keepassxc 2.7.1-1
kemoticons 5.95.0-1
keyutils 1.6.3-1
kfilemetadata 5.95.0-1
kglobalaccel 5.95.0-1
kguiaddons 5.95.0-1
kholidays 1:5.95.0-1
ki18n 5.95.0-1
kiconthemes 5.95.0-1
kidletime 5.95.0-1
kimageannotator 0.6.0-1
kio 5.95.0-1
kio-extras 22.04.2-1
kirigami2 5.95.0-1
kitemmodels 5.95.0-1
kitemviews 5.95.0-1
kitinerary 22.04.2-1
kitty 0.25.2-1
kitty-shell-integration 0.25.2-1
kitty-terminfo 0.25.2-1
kjobwidgets 5.95.0-1
kjs 5.95.0-1
kldap 22.04.2-1
kmbox 22.04.2-1
kmime 22.04.2-1
kmod 29-3
knewstuff 5.95.0-1
knotifications 5.95.0-1
knotifyconfig 5.95.0-1
kopeninghours 22.04.2-2
kosmindoormap 22.04.2-2
kpackage 5.95.0-1
kparts 5.95.0-1
kpeople 5.95.0-1
kpeoplevcard 0.1-1
kpkpass 22.04.2-1
kplotting 5.95.0-1
kpmcore 22.04.2-1
kpty 5.95.0-1
kpublictransport 22.04.2-1
kqtquickcharts 22.04.2-1
kquickcharts 5.95.0-1
krb5 1.19.3-3
kservice 5.95.0-1
ktextwidgets 5.95.0-1
kunitconversion 5.95.0-1
kuserfeedback 1.2.0-1
kvantum 1.0.2-1
kwallet 5.95.0-1
kwayland 5.95.0-1
kwidgetsaddons 5.95.0-1
kwindowsystem 5.95.0-1
kxmlgui 5.95.0-1
kyotocabinet 1.2.79-1
l-smash 2.14.5-2
lame 3.100-3
lapack 3.10.1-1
laptop-detect 0.16-1
lbzip2 2.5-5
lcms2 2.13.1-1
ldb 2:2.5.1-1
ldns 1.8.1-1
lensfun 1:0.3.3-1
less 1:590-1
lib32-acl 2.3.1-1
lib32-alsa-lib 1.2.7-2
lib32-alsa-plugins 1.2.6-1
lib32-amdvlk 2022.Q2.2-1
lib32-at-spi2-atk 2.38.0-2
lib32-at-spi2-core 2.44.1-1
lib32-atk 2.38.0-1
lib32-attr 2.5.1-1
lib32-brotli 1.0.9-4
lib32-bzip2 1.0.8-2
lib32-cairo 1.17.6-2
lib32-colord 1.4.6-1
lib32-curl 7.83.1-1
lib32-dbus 1.14.0-1
lib32-dbus-glib 0.112-2
lib32-dconf 0.40.0-2
lib32-e2fsprogs 1.46.5-1
lib32-expat 2.4.8-1
lib32-faudio 22.06-1
lib32-flac 1.3.4-2
lib32-fontconfig 2:2.14.0-1
lib32-freeglut 3.2.2-2
lib32-freetype2 2.12.1-1
lib32-fribidi 1.0.12-1
lib32-gcc-libs 12.1.0-2
lib32-gdk-pixbuf2 2.42.8-1
lib32-gettext 0.21-1
lib32-giflib 5.2.1-1
lib32-glew1.10 1.10.0-5
lib32-glib-networking 2.72.0-1
lib32-glib2 2.72.2-1
lib32-glibc 2.35-6
lib32-glu 9.0.2-3
lib32-gmp 6.2.1-1
lib32-gnutls 3.7.6-1
lib32-gsm 1.0.19-2
lib32-gst-plugins-base-libs 1.20.2-1
lib32-gstreamer 1.20.2-1
lib32-gtk2 2.24.33-1
lib32-gtk3 3.24.34-1
lib32-harfbuzz 4.3.0-1
lib32-icu 71.1-1
lib32-imlib2 1.9.0-2
lib32-json-glib 1.6.6-2
lib32-keyutils 1.6.3-1
lib32-krb5 1.19.3-2
lib32-lcms2 2.13.1-1
lib32-libappindicator-gtk2 12.10.0-13
lib32-libasyncns 1:0.8+r3+g68cd5af-1
lib32-libcaca 0.99.beta20-1
lib32-libcanberra 1:0.30+r2+gc0620e4-1
lib32-libcap 2.64-1
lib32-libcups 2.4.2-1
lib32-libcurl-compat 7.83.1-1
lib32-libcurl-gnutls 7.83.1-1
lib32-libdatrie 0.2.13-1
lib32-libdbusmenu-glib 16.04.0-4
lib32-libdbusmenu-gtk2 16.04.0-4
lib32-libdrm 2.4.111-1
lib32-libelf 0.187-1
lib32-libepoxy 1.5.10-1
lib32-libffi 3.4.2-4
lib32-libgcrypt 1.10.1-1
lib32-libgcrypt15 1.5.6-7
lib32-libglvnd 1.4.0-2
lib32-libgpg-error 1.45-1
lib32-libgudev 237-2
lib32-libgusb 0.3.10-2
lib32-libice 1.0.10-1
lib32-libid3tag 0.15.1b-3
lib32-libidn11 1.33-2
lib32-libidn2 2.3.2-1
lib32-libindicator-gtk2 12.10.1-8
lib32-libjpeg-turbo 2.1.3-1
lib32-libjpeg6-turbo 1.5.3-2
lib32-libldap 2.6.2-1
lib32-libltdl 2.4.7-2
lib32-libmikmod 3.3.11.1-5
lib32-libmodplug 0.8.9.0-4
lib32-libnl 3.6.0-1
lib32-libnm 1.38.0-1
lib32-libnm-glib 1.18.5dev+12+ga8746f48ca-1
lib32-libnsl 2.0.0-1
lib32-libogg 1.3.5-1
lib32-libpcap 1.10.1-1
lib32-libpciaccess 0.16-1
lib32-libpng 1.6.37-3
lib32-libpng12 1.2.59-2
lib32-libproxy 0.4.17-2
lib32-libpsl 0.21.1-2
lib32-libpulse 16.0-1
lib32-librsvg 2:2.54.4-1
lib32-librtmp0 2.4-4
lib32-libsm 1.2.3-1
lib32-libsndfile 1.1.0-1
lib32-libsoup 2.74.2-1
lib32-libssh2 1.10.0-1
lib32-libtasn1 4.18.0-1
lib32-libthai 0.1.29-1
lib32-libtheora 1.1.1-13
lib32-libtiff 4.4.0-1
lib32-libtiff4 3.9.7-5
lib32-libtirpc 1.3.2-2
lib32-libudev0-shim 1-5
lib32-libunistring 1.0-1
lib32-libunwind 1.6.2-1
lib32-libusb 1.0.26-1
lib32-libva 2.14.0-1
lib32-libvdpau 1.5-1
lib32-libvorbis 1.3.7-1
lib32-libvpx1.3 1.3.0-2
lib32-libwebp 1.2.2-1
lib32-libwrap 7.6.31-4
lib32-libx11 1.8.1-1
lib32-libxau 1.0.9-2
lib32-libxcb 1.15-1
lib32-libxcomposite 0.4.5-2
lib32-libxcrypt 4.4.28-1
lib32-libxcursor 1.2.1-1
lib32-libxdamage 1.1.5-2
lib32-libxdmcp 1.1.3-1
lib32-libxext 1.3.4-2
lib32-libxfixes 6.0.0-1
lib32-libxft 2.3.4-1
lib32-libxi 1.8-1
lib32-libxinerama 1.1.4-2
lib32-libxkbcommon 1.4.1-1
lib32-libxml2 2.9.14-1
lib32-libxmu 1.1.3-2
lib32-libxrandr 1.5.2-2
lib32-libxrender 0.9.10-2
lib32-libxshmfence 1.3-2
lib32-libxslt 1.1.35-1
lib32-libxss 1.2.3-2
lib32-libxt 1.2.1-1
lib32-libxtst 1.2.3-2
lib32-libxv 1.0.11-2
lib32-libxxf86vm 1.1.4-3
lib32-llvm-libs 13.0.1-1
lib32-lm_sensors 1:3.6.0.r41.g31d1f125-1
lib32-lz4 1.9.3-1
lib32-mesa 22.1.1-2
lib32-mpg123 1.29.3-1
lib32-ncurses 6.3-1
lib32-nettle 3.8-1
lib32-nspr 4.34-1
lib32-nss 3.79-1
lib32-nvidia-utils 515.48.07-1
lib32-ocl-icd 2.3.1-1
lib32-openal 1.22.0-1
lib32-openssl 1:1.1.1.n-1
lib32-openssl-1.0 1.0.2.u-2
lib32-opus 1.3.1-2
lib32-orc 0.4.32-2
lib32-p11-kit 0.24.1-1
lib32-pam 1.5.2-1
lib32-pango 1:1.50.7-1
lib32-pcre 8.45-1
lib32-pipewire 1:0.3.52-2
lib32-pixman 0.40.0-1
lib32-polkit 0.120-5
lib32-readline 8.1.002-1
lib32-rest 0.8.1-4
lib32-rust-libs 1:1.61.0-1
lib32-sdl12-compat 1.2.52-3
lib32-sdl2 2.0.22-1
lib32-sdl2_image 2.0.5-2
lib32-sdl2_mixer 2.0.4-2
lib32-sdl2_ttf 2.0.18-1
lib32-sdl_image 1.2.12-7
lib32-sdl_mixer 1.2.12-4
lib32-sdl_ttf 2.0.11-6
lib32-smpeg 0.4.5-3
lib32-speex 1.2.0-3
lib32-speexdsp 1.2.0-1
lib32-sqlite 3.38.5-1
lib32-systemd 251.2-1
lib32-tdb 1.4.7-1
lib32-util-linux 2.38-1
lib32-v4l-utils 1.22.1-1
lib32-vulkan-icd-loader 1.3.217-1
lib32-wayland 1.20.0-2
lib32-xz 5.2.5-2
lib32-zlib 1.2.12-1
lib32-zstd 1.5.2-1
libabw 0.1.3-3
libaccounts-glib 1.25-7
libaccounts-qt 1.16-3
libadwaita 1:1.1.2-1
libaec 1.0.6-1
libaio 0.3.113-1
libao 1.2.2-5
libappindicator-gtk3 12.10.0.r296-2
libarchive 3.6.1-1
libass 0.16.0-1
libassuan 2.5.5-1
libasyncns 1:0.8+r3+g68cd5af-1
libatasmart 0.19-5
libatomic_ops 7.6.12-1
libavc1394 0.5.4-4
libavif 0.10.1-2
libavtp 0.2.0-1
libb2 0.98.1-2
libblockdev 2.26-3
libbluray 1.3.1-1
libbpf 0.8.0-1
libbs2b 3.1.0-7
libbsd 0.11.6-2
libburn 1.5.4-1
libbytesize 2.7-1
libc++ 13.0.1-1
libc++abi 13.0.1-1
libcaca 0.99.beta20-1
libcacard 2.7.0-2
libcanberra 1:0.30+r2+gc0620e4-1
libcap 2.64-1
libcap-ng 0.8.3-1
libcddb 1.3.2-6
libcdio 2.1.0-2
